claimed_penalty,contract_penalty_percentage,prepayment,contract_price,delay,debt_amount,penalty_reduction_ratio,appeal_courts,type_of_contract,judge_gender,year,undefined_contract_price
777932,0.005,,4229599.0,195.0,877909.0,0.8855915427055321,11 апелляция,Аренда,Судья - женщина,2023 год,False
529605,0.001,,2491810.0,472.0,2491810.0,0.6459266812058043,11 апелляция,Аренда,Судья - женщина,2023 год,False
354944,0.001,,5042863.0,176.0,3176126.6,0.4365308330328165,11 апелляция,Подряд,Судья - мужчина,2023 год,False
10953,0.005,,34006.0,99.0,21906.0,0.6320642746279559,11 апелляция,Поставка,Судья - женщина,2023 год,False
1055207,0.003,,5546581.0,72.0,4818301.0,0.666667298454237,11 апелляция,Поставка,Судья - женщина,2023 год,False
1037734,0.001,,1890013.0,602.0,1338684.0,0.3074198204934983,11 апелляция,Аренда,Судья - женщина,2023 год,False
647556,0.001,,19112360.0,110.0,3885196.0,0.5,11 апелляция,Услуги,Судья - мужчина,2023 год,False
2599730,0.001,,40704994.0,473.0,21938652.0,0.4230170056121213,13 апелляция,Подряд,Судья - женщина,2023 год,False
73556,0.002,,1128000.0,2.0,1128000.0,0.5,11 апелляция,Аренда,Судья - женщина,2023 год,False
2454457,0.001,,2326500.0,1054.0,2326500.0,0.5000002037110449,11 апелляция,Аренда,Судья - женщина,2023 год,False
325438,0.005,,282673.0,575.0,263600.0,0.9737215690853558,11 апелляция,Поставка,Судья - мужчина,2023 год,False
23818,0.003,,41787.0,70.0,41787.0,0.6666806616844403,11 апелляция,Поставка,Судья - мужчина,2023 год,False
904800,0.001,,47910000.0,157.0,12900000.0,0.5,5 апелляция,Поставка,Судья - женщина,2022 год,False
12933787,0.001,,5598078.0,4017.0,247645.0,0.9721659247983596,5 апелляция,Аренда,Судья - женщина,2023 год,False
1573148,0.001,,3608773.0,792.0,23713.0,0.9849264023473951,5 апелляция,Аренда,Судья - женщина,2022 год,False
2573482,0.0069999999999999,,2172484.0,324.0,2172484.0,0.8575210551307528,5 апелляция,Аренда,Судья - женщина,2023 год,False
3204000,0.03,,1050000.0,171.0,560000.0,0.968789013732834,5 апелляция,Аренда,Судья - женщина,2022 год,False
155812,0.003,,2371261.0,170.0,258971.0,0.5,5 апелляция,Аренда,Судья - женщина,2022 год,False
3188943,0.001,,803035.0,643.0,803035.0,0.7740599314569122,5 апелляция,Поставка,Судья - женщина,2023 год,False
59423,0.001,,187636.0,971.0,121112.0,0.6970869865203708,5 апелляция,Аренда,Судья - женщина,2023 год,False
1399842,0.001,,1214272.0,16.0,1214272.0,0.4285069314965546,5 апелляция,Аренда,Судья - женщина,2023 год,False
9688085,0.001,,10886399.0,2242.0,7481373.0,0.9587121706715,5 апелляция,Аренда,Судья - женщина,2023 год,False
1129462,0.001,,11182000.0,100.0,3561550.2,0.6666669617924286,5 апелляция,Поставка,Судья - женщина,2022 год,False
897792,0.001,,6547159.8,167.0,5344264.0,0.4335993192187054,5 апелляция,Поставка,Судья - женщина,2022 год,True
1234347,0.004,,2017437.0,22.0,795327.0,0.5000004050724796,5 апелляция,Поставка,Судья - женщина,2022 год,True
342267,0.001,,696101.0,1530.0,355374.0,0.749347731449424,5 апелляция,Аренда,Судья - женщина,2022 год,False
243519,0.0065,,1285904.0,1096.0,246450.0,0.8293685502979233,5 апелляция,Аренда,Судья - женщина,2022 год,False
727589,0.003,,5255397.0,20.0,5255397.0,0.666668957337178,5 апелляция,Поставка,Судья - женщина,2022 год,False
2668284,0.001,,2599254.2,433.0,1830128.0,0.3141179874406172,5 апелляция,Поставка,Судья - женщина,2022 год,True
2121322,0.005,,4727543.0,229.0,1692007.6,0.9151472525151768,5 апелляция,Аренда,Судья - женщина,2023 год,False
2800203,0.003,,1957515.8,854.0,1563483.8,0.6666666666666667,15 апелляция,Поставка,Судья - женщина,2023 год,True
497645,0.001,,654900.0,954.0,27300.0,0.6616001366435913,15 апелляция,Услуги,Судья - женщина,2022 год,False
81795,0.003,,148180.0,183.0,148180.0,0.6666666666666667,15 апелляция,Поставка,Судья - мужчина,2022 год,False
33175,0.002,,837978.0,30.0,792961.0,0.5228334589299171,15 апелляция,Поставка,Судья - женщина,2022 год,False
2272274,0.005,,4547788.0,454.0,600.0,0.8000003520702169,15 апелляция,Поставка,Судья - мужчина,2023 год,False
29488,0.005,,752803.0,406.0,14840.0,0.8000203472599023,15 апелляция,Поставка,Судья - женщина,2023 год,True
1819604,0.003,,5896752.0,21.0,2739515.0,0.6666670330467508,15 апелляция,Поставка,Судья - женщина,2022 год,False
512960,0.005,,9690451.0,71.0,711799.0,0.9412917186525264,15 апелляция,Поставка,Судья - женщина,2023 год,False
919716,0.002,,30657225.0,14.0,5072186.2,0.5,15 апелляция,Поставка,Судья - мужчина,2022 год,False
151152,0.0001,,4577159.0,83.0,4077159.0,,15 апелляция,Поставка,Судья - женщина,2022 год,False
295828,0.01,,2106300.4,51.0,350000.0,0.9000027042741052,15 апелляция,Поставка,Судья - мужчина,2022 год,True
45890,0.005,,165745.0,69.0,131115.0,0.8,15 апелляция,Поставка,Судья - женщина,2023 год,False
1115287,0.1,,11152876.0,26.0,11152876.0,0.9000006276411363,15 апелляция,Поставка,Судья - мужчина,2022 год,False
3344,0.001,,2816528.0,483.0,6923.0,0.0,15 апелляция,Поставка,Судья - мужчина,2022 год,False
1777170,0.01,,6213801.0,36.0,4349660.0,0.9,15 апелляция,Подряд,Судья - женщина,2023 год,False
294744,0.005,,149886.0,392.0,149886.0,0.7957312108134517,15 апелляция,Поставка,Судья - мужчина,2022 год,False
603526,0.1,,6035268.0,150.0,6035268.0,0.9000009941576668,15 апелляция,Поставка,Судья - женщина,2023 год,False
77298,0.003,,48341.0,533.0,48341.0,0.6666666666666667,15 апелляция,Поставка,Судья - мужчина,2022 год,False
18020319,0.001,,2955224.8,122.0,3499356.2,0.3340850403369663,13 апелляция,Подряд,Судья - женщина,2021 год,True
1000000,0.001,,90000145.0,95.0,250224.0,0.52,13 апелляция,Подряд,Судья - мужчина,2021 год,False
